EntrezID_TF	EntrezID_gene
142	2919
142	6622
190	6770
196	1543
196	2353
196	3315
196	7031
328	5741
367	354
367	367
367	1026
367	2158
367	3936
367	5284
401	1621
401	6530
401	7857
405	1356
405	2056
405	2353
405	2597
405	3280
405	3398
405	3952
405	4846
405	5045
405	5209
405	7018
405	7422
405	23621
405	51107
405	54578
406	5054
463	174
463	290
466	595
466	598
466	672
466	890
466	909
466	1595
466	1958
466	2064
466	2934
466	3811
466	4014
466	4261
466	5972
466	6750
466	7003
466	7042
466	57630
467	467
467	4312
467	6401
467	7157
467	53947
468	6955
604	598
604	894
604	7157
639	3399
639	3456
639	4261
639	5079
639	6689
672	1027
672	7015
860	632
860	860
860	1178
860	1300
860	2263
860	2778
860	4322
860	4982
860	7015
860	9421
860	50964
860	57708
861	596
861	3562
861	5328
861	6348
861	27040
861	29949
864	3804
864	3805
864	115653
1044	6476
1044	27035
1045	596
1045	2984
1045	4583
1045	4585
1045	5891
1045	6476
1045	9075
1045	27035
1045	54575
1045	54576
1050	241
1050	336
1050	338
1050	596
1050	1071
1050	1401
1050	1435
1050	1553
1050	1576
1050	2052
1050	2158
1050	3383
1050	3586
1050	3713
1050	4057
1050	5054
1050	5468
1050	5710
1050	6280
1050	7018
1050	9370
1050	54106
1050	407008
1051	596
1051	597
1051	1026
1051	1401
1051	1553
1051	1594
1051	2155
1051	2263
1051	3239
1051	3383
1051	3553
1051	3569
1051	3576
1051	3586
1051	3949
1051	4210
1051	5054
1051	5243
1051	5618
1051	6280
1051	6289
1051	6348
1051	6352
1051	6573
1051	6690
1051	7130
1051	7150
1051	7923
1051	8795
1051	10068
1051	55553
1052	241
1052	1080
1052	1553
1052	3569
1052	5054
1052	6352
1053	241
1053	1435
1053	2155
1054	2155
1316	4843
1316	7980
1385	154
1385	595
1385	598
1385	627
1385	672
1385	890
1385	909
1385	985
1385	1080
1385	1392
1385	1595
1385	1621
1385	1831
1385	1958
1385	2064
1385	2335
1385	2353
1385	2798
1385	3397
1385	3458
1385	3484
1385	3630
1385	3811
1385	4014
1385	4286
1385	4929
1385	5250
1385	5327
1385	5663
1385	5741
1385	5972
1385	6134
1385	6352
1385	6594
1385	6662
1385	6750
1385	7124
1385	7178
1385	7200
1385	7432
1385	9156
1385	9592
1385	10795
1385	26834
1385	54106
1385	55851
1385	55872
1385	406921
1386	467
1386	595
1386	890
1386	909
1386	1386
1386	1583
1386	1584
1386	1958
1386	2335
1386	2353
1386	3456
1386	3458
1386	3630
1386	4313
1386	5327
1386	5328
1386	6352
1386	6401
1386	7042
1386	7124
1386	7432
1386	53947
1386	55872
1387	3456
1387	3665
1390	595
1390	890
1390	909
1390	2353
1390	3630
1482	4878
1482	5351
1489	5921
1489	7157
1523	1536
1642	5610
1643	5610
1649	8795
1869	595
1869	596
1869	857
1869	890
1869	898
1869	990
1869	993
1869	1029
1869	1031
1869	1537
1869	1719
1869	1846
1869	1869
1869	1870
1869	1876
1869	3925
1869	4217
1869	4609
1869	4616
1869	4998
1869	5046
1869	5800
1869	5933
1869	6670
1869	7015
1869	7161
1869	8600
1869	9077
1869	10926
1869	55872
1869	89845
1869	406952
1870	4217
1871	1031
1871	4217
1871	9077
1874	983
1874	1031
1874	3925
1874	4217
1874	5111
1874	9077
1875	9077
1876	7015
1879	973
1879	3543
1879	7441
1943	675
1943	919
1943	968
1943	2205
1943	2207
1943	2242
1943	3558
1943	3559
1943	3811
1943	4067
1943	4790
1943	27040
1958	20
1958	356
1958	595
1958	847
1958	1234
1958	1278
1958	1280
1958	1636
1958	1647
1958	1956
1958	2002
1958	2152
1958	2247
1958	2321
1958	3397
1958	3558
1958	3560
1958	3562
1958	3949
1958	4129
1958	4665
1958	4790
1958	5154
1958	5468
1958	5979
1958	6549
1958	6550
1958	6647
1958	6720
1958	7048
1958	7124
1958	7803
1958	8061
1958	9536
1958	10397
1958	56034
1959	2705
1959	5243
1960	356
1961	3558
1961	7124
1998	4067
1998	5328
1999	284
1999	326
1999	1366
1999	6699
1999	7048
2002	1959
2002	2002
2002	2353
2002	4846
2002	5663
2002	6722
2002	7124
2002	8645
2002	54106
2004	2353
2005	2353
2033	595
2033	3456
2033	3486
2033	3665
2034	2597
2034	4846
2063	344
2063	345
2063	3973
2099	177
2099	348
2099	595
2099	598
2099	672
2099	901
2099	1026
2099	1393
2099	1442
2099	1545
2099	1728
2099	1831
2099	2353
2099	3206
2099	3315
2099	4057
2099	4313
2099	4582
2099	5241
2099	5757
2099	7015
2099	7018
2099	7022
2099	7031
2099	7039
2099	7124
2099	7157
2099	7422
2099	9166
2099	9167
2099	9368
2099	10553
2099	54828
2099	317716
2100	1393
2100	1442
2100	1728
2100	3643
2100	6752
2100	7031
2100	7124
2100	7422
2100	10553
2101	4057
2113	285
2113	326
2113	719
2113	834
2113	841
2113	925
2113	963
2113	985
2113	1147
2113	1278
2113	1460
2113	1889
2113	2064
2113	2352
2113	2908
2113	2925
2113	3560
2113	3687
2113	3811
2113	4249
2113	4312
2113	4790
2113	5310
2113	5663
2113	5744
2113	6237
2113	6667
2113	6698
2113	6955
2113	7020
2113	7056
2113	7076
2113	7124
2113	7454
2113	7852
2113	8061
2113	22801
2113	51744
2113	114757
2114	326
2114	595
2114	983
2114	2064
2114	3815
2114	4247
2114	5328
2114	5663
2114	7053
2114	8061
2114	54106
2118	2064
2118	2353
2118	2629
2118	2683
2118	4312
2118	4314
2118	4585
2118	4811
2118	5328
2118	9334
2119	3383
2119	4312
2119	4314
2119	5663
2122	7704
2130	57630
2161	1536
2254	2
2254	2209
2254	2353
2254	2633
2254	7453
2254	8554
2254	9636
2295	6439
2305	259
2305	338
2305	1401
2305	1576
2305	6439
2305	57708
2308	2538
2308	3484
2308	5166
2309	356
2309	367
2309	1027
2309	1831
2309	2538
2309	3397
2309	3484
2309	4843
2309	5166
2309	7042
2309	8660
2309	8743
2309	10935
2309	57708
2313	968
2313	1278
2313	1958
2313	2353
2313	2815
2313	5310
2313	51206
2353	9
2353	350
2353	595
2353	719
2353	826
2353	1621
2353	1906
2353	2006
2353	2312
2353	2353
2353	2771
2353	2798
2353	3558
2353	3576
2353	3868
2353	4312
2353	4313
2353	4321
2353	4502
2353	4988
2353	5241
2353	5328
2353	7157
2353	7465
2353	8061
2353	10628
2353	53947
2353	57708
2353	124056
2354	8797
2355	672
2355	1442
2355	3567
2355	3713
2355	6699
2355	7178
2355	8061
2494	8714
2494	9370
2516	269
2516	1584
2516	1585
2516	1586
2516	3284
2516	4158
2521	5471
2521	10606
2547	540
2551	672
2551	1667
2551	2064
2551	3560
2551	3689
2551	3811
2551	4528
2551	5021
2551	5663
2551	6237
2551	6389
2551	6790
2551	7019
2551	7066
2551	7402
2551	9804
2551	9868
2551	10855
2551	54538
2553	672
2553	1667
2553	3560
2553	3689
2553	4528
2553	5021
2553	5663
2553	7066
2553	7402
2553	10855
2553	54538
2623	212
2623	246
2623	350
2623	1536
2623	2056
2623	2057
2623	2994
2623	2995
2623	3133
2623	3145
2623	3212
2623	3674
2623	3685
2623	4005
2623	4904
2623	5553
2623	5981
2623	6006
2623	6708
2623	7490
2623	10210
2623	51206
2623	727897
2624	350
2624	1536
2624	1906
2624	2056
2624	2057
2624	2212
2624	2798
2624	3567
2624	4846
2624	4904
2624	5553
2624	6403
2624	7490
2624	30816
2625	925
2625	1536
2625	2056
2625	2212
2625	2798
2625	2994
2625	3565
2625	3567
2625	3596
2625	3821
2625	4582
2625	6955
2625	7432
2625	10210
2625	30816
2626	1278
2626	1586
2626	2052
2626	3283
2626	3567
2626	4585
2627	1528
2627	3172
2627	4585
2627	7032
2627	27035
2637	3569
2672	8328
2735	596
2735	894
2735	2735
2735	3489
2735	3728
2735	5727
2736	596
2736	2735
2737	596
2737	2735
2737	5727
2908	100
2908	174
2908	632
2908	1392
2908	1559
2908	2908
2908	6744
2908	9970
