TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000637	ENSG00000109846	11	111779289	111794446	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000643	ENSG00000120738	5	137801169	137805004	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000726	ENSG00000159251	15	35080296	35087927	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000726	ENSG00000159251	15	35080296	35087927	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000726	ENSG00000159251	15	35080296	35087927	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000735	ENSG00000075624	7	5566782	5603415	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000738	ENSG00000170345	14	75745481	75748937	Homo sapiens	ABS	12760745	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000738	ENSG00000170345	14	75745481	75748937	Homo sapiens	ABS	9571041	NA
TF0000324	ENST00000265354	SRF_HUMAN	GS0000742	ENSG00000198947	X	31132808	33357558	Homo sapiens	ABS	9571041	NA
TF0000325	ENST00000358190	EEF1A1_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	12760745	NA
TF0000325	ENST00000358190	EEF1A1_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	9571041	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000616	ENSG00000143632	1	229566992	229569845	Homo sapiens	ABS	9571041	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000637	ENSG00000109846	11	111779289	111794446	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000668	ENSG00000174697	7	127881337	127897681	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000680	ENSG00000139687	13	48877883	49056122	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000682	ENSG00000164692	7	94023873	94060544	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000682	ENSG00000164692	7	94023873	94060544	Homo sapiens	ABS	12760745	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000699	ENSG00000167165	2	234600253	234681946	Homo sapiens	ABS	11544200	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000708	ENSG00000136167	13	46700061	46786006	Homo sapiens	ABS	12082130	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000712	ENSG00000198788	11	1074875	1104419	Homo sapiens	ABS	12082130	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000724	ENSG00000087085	7	100487615	100494594	Homo sapiens	ABS	9571041	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000724	ENSG00000087085	7	100487615	100494594	Homo sapiens	ABS	9571041	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000724	ENSG00000087085	7	100487615	100494594	Homo sapiens	ABS	9571041	NA
TF0000326	ENST00000327443	SP1_HUMAN	GS0000726	ENSG00000159251	15	35080296	35087927	Homo sapiens	ABS	9571041	NA
