TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105644	ENSMUSG00000038991	13	38591948	38620693	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105642	ENSMUSG00000027255	2	91105131	91117088	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105640	ENSMUSG00000030257	6	112667965	112897260	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105662	ENSMUSG00000059182	6	51809165	51962548	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105652	ENSMUSG00000013367	7	50728277	50745445	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105675	ENSMUSG00000029455	5	122016036	122043833	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105660	ENSMUSG00000022974	16	91014282	91044788	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105647	ENSMUSG00000023034	15	101097277	101105223	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105653	ENSMUSG00000022528	16	30064470	30067882	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0001059	ENSMUST00000022971	MYC_MOUSE	GS0105665	ENSMUSG00000005947	11	72904085	72960948	Mus musculus	Signaling_pathways_Chen	18555785	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
